V(Vg=2.0),Gmeas(Vg=2.0),V(Vg=2.25),Gmeas(Vg=2.25),V(Vg=2.5),Gmeas(Vg=2.5),V(Vg=2.75),Gmeas(Vg=2.75),V(Vg=3.0),Gmeas(Vg=3.0),V(Vg=3.25),Gmeas(Vg=3.25),V(Vg=3.5),Gmeas(Vg=3.5)

0.09465666000000002,-0.020258369248816768,0.08818425500000002,-0.02447766490591667,0.08273697940000001,-0.025350299572977172,0.077821636,-0.033420228955030176,0.07402536200000001,-0.04391662235206694,0.070870442,-0.03232088750525955,0.06770661600000003,-0.0397984788205223

0.14594401200000004,-0.016584847712537622,0.13622488200000005,-0.020626310336072977,0.12809370400000003,-0.02191867944435965,0.12081030400000003,-0.0293232020513894,0.11497443400000004,-0.03902815360643708,0.11027072400000004,-0.029479708325138753,0.10547441600000004,-0.03667151908544623

0.200356638,-0.013385463636421055,0.18749893600000003,-0.017166993599467238,0.17664996400000002,-0.018732829078382505,0.16686983400000002,-0.025426400972496536,0.15917504999999998,-0.03430247232191483,0.15289583200000004,-0.026620319837202824,0.14646948200000004,-0.03344354701010932

0.258200026,-0.010635852504799464,0.24228353999999996,-0.014051998674325012,0.22871299199999995,-0.01579117080118758,0.21641697799999998,-0.021800564436023108,0.20687304,-0.029750635225740413,0.19907736199999998,-0.023704259862915387,0.19095545600000002,-0.03013142891844632

0.31949845399999993,-0.008300839006254473,0.30034042799999994,-0.011344806291324165,0.284200926,-0.013132486219948886,0.26951200399999997,-0.018429384225089898,0.25789150399999994,-0.02549817943877368,0.24849140399999997,-0.020877850432170032,0.23880875199999996,-0.02686227978680138

0.38434464200000007,-0.006348614209186931,0.3621397880000001,-0.009012403459318034,0.3433648420000001,-0.010742958533562226,0.32614978800000005,-0.015360587659374465,0.31255203400000003,-0.02159852357764745,0.30161790600000005,-0.01817794656673602,0.29037084800000007,-0.023656923217548538

0.45264269800000007,-0.004727044803380983,0.42739431000000006,-0.006994457418826594,0.40590059400000006,-0.008620275391919952,0.38634643400000007,-0.012607964284266797,0.37085426400000004,-0.01799309142207247,0.35821091600000005,-0.015591930917322725,0.34533735400000004,-0.020545298967787035

0.524106898,-0.0034024970968682604,0.49585108800000005,-0.005305645726131929,0.47168581600000004,-0.006793596187865277,0.449933704,-0.01015667279869057,0.432256026,-0.014771081196320188,0.41810073200000003,-0.01316878588502534,0.403515388,-0.017609794592103822

0.5984552999999999,-0.0023933800372017665,0.567378972,-0.003941072195939225,0.5405913099999999,-0.005252462563080242,0.516501922,-0.008052108154405452,0.49681661200000005,-0.01196922662283469,0.48089927199999993,-0.010986471968383461,0.464602634,-0.014955525932886078

0.6760695200000001,-0.001632178344091496,0.6419701540000001,-0.0028527781494710252,0.6124655520000001,-0.003979702813968643,0.586133682,-0.006286709450850929,0.5643514360000002,-0.00956457265590694,0.5467030380000001,-0.009061378550597937,0.5288656620000001,-0.01254331600540291

